X [mm], Y [mm], Z [mm], Heading [degrees], Filename, Grid X, Grid Y, Grid Z
0, 0, 250, 0, im_001_001_001.png, 0, 0, 0
100, 0, 250, 0, im_002_001_001.png, 1, 0, 0
200, 0, 250, 0, im_003_001_001.png, 2, 0, 0
300, 0, 250, 0, im_004_001_001.png, 3, 0, 0
400, 0, 250, 0, im_005_001_001.png, 4, 0, 0
500, 0, 250, 0, im_006_001_001.png, 5, 0, 0
600, 0, 250, 0, im_007_001_001.png, 6, 0, 0
700, 0, 250, 0, im_008_001_001.png, 7, 0, 0
800, 0, 250, 0, im_009_001_001.png, 8, 0, 0
900, 0, 250, 0, im_010_001_001.png, 9, 0, 0
1000, 0, 250, 0, im_011_001_001.png, 10, 0, 0
1100, 0, 250, 0, im_012_001_001.png, 11, 0, 0
1200, 0, 250, 0, im_013_001_001.png, 12, 0, 0
1300, 0, 250, 0, im_014_001_001.png, 13, 0, 0
1400, 0, 250, 0, im_015_001_001.png, 14, 0, 0
1500, 0, 250, 0, im_016_001_001.png, 15, 0, 0
1600, 0, 250, 0, im_017_001_001.png, 16, 0, 0
1700, 0, 250, 0, im_018_001_001.png, 17, 0, 0
1800, 0, 250, 0, im_019_001_001.png, 18, 0, 0
1900, 0, 250, 0, im_020_001_001.png, 19, 0, 0
2000, 0, 250, 0, im_021_001_001.png, 20, 0, 0
2100, 0, 250, 0, im_022_001_001.png, 21, 0, 0
2200, 0, 250, 0, im_023_001_001.png, 22, 0, 0
2300, 0, 250, 0, im_024_001_001.png, 23, 0, 0
2400, 0, 250, 0, im_025_001_001.png, 24, 0, 0
2500, 0, 250, 0, im_026_001_001.png, 25, 0, 0
2600, 0, 250, 0, im_027_001_001.png, 26, 0, 0
2700, 0, 250, 0, im_028_001_001.png, 27, 0, 0
2800, 0, 250, 0, im_029_001_001.png, 28, 0, 0
0, 100, 250, 0, im_001_002_001.png, 0, 1, 0
100, 100, 250, 0, im_002_002_001.png, 1, 1, 0
200, 100, 250, 0, im_003_002_001.png, 2, 1, 0
300, 100, 250, 0, im_004_002_001.png, 3, 1, 0
400, 100, 250, 0, im_005_002_001.png, 4, 1, 0
500, 100, 250, 0, im_006_002_001.png, 5, 1, 0
600, 100, 250, 0, im_007_002_001.png, 6, 1, 0
700, 100, 250, 0, im_008_002_001.png, 7, 1, 0
800, 100, 250, 0, im_009_002_001.png, 8, 1, 0
900, 100, 250, 0, im_010_002_001.png, 9, 1, 0
1000, 100, 250, 0, im_011_002_001.png, 10, 1, 0
1100, 100, 250, 0, im_012_002_001.png, 11, 1, 0
1200, 100, 250, 0, im_013_002_001.png, 12, 1, 0
1300, 100, 250, 0, im_014_002_001.png, 13, 1, 0
1400, 100, 250, 0, im_015_002_001.png, 14, 1, 0
1500, 100, 250, 0, im_016_002_001.png, 15, 1, 0
1600, 100, 250, 0, im_017_002_001.png, 16, 1, 0
1700, 100, 250, 0, im_018_002_001.png, 17, 1, 0
1800, 100, 250, 0, im_019_002_001.png, 18, 1, 0
1900, 100, 250, 0, im_020_002_001.png, 19, 1, 0
2000, 100, 250, 0, im_021_002_001.png, 20, 1, 0
2100, 100, 250, 0, im_022_002_001.png, 21, 1, 0
2200, 100, 250, 0, im_023_002_001.png, 22, 1, 0
2300, 100, 250, 0, im_024_002_001.png, 23, 1, 0
2400, 100, 250, 0, im_025_002_001.png, 24, 1, 0
2500, 100, 250, 0, im_026_002_001.png, 25, 1, 0
2600, 100, 250, 0, im_027_002_001.png, 26, 1, 0
2700, 100, 250, 0, im_028_002_001.png, 27, 1, 0
2800, 100, 250, 0, im_029_002_001.png, 28, 1, 0
0, 200, 250, 0, im_001_003_001.png, 0, 2, 0
100, 200, 250, 0, im_002_003_001.png, 1, 2, 0
200, 200, 250, 0, im_003_003_001.png, 2, 2, 0
300, 200, 250, 0, im_004_003_001.png, 3, 2, 0
400, 200, 250, 0, im_005_003_001.png, 4, 2, 0
500, 200, 250, 0, im_006_003_001.png, 5, 2, 0
600, 200, 250, 0, im_007_003_001.png, 6, 2, 0
700, 200, 250, 0, im_008_003_001.png, 7, 2, 0
800, 200, 250, 0, im_009_003_001.png, 8, 2, 0
900, 200, 250, 0, im_010_003_001.png, 9, 2, 0
1000, 200, 250, 0, im_011_003_001.png, 10, 2, 0
1100, 200, 250, 0, im_012_003_001.png, 11, 2, 0
1200, 200, 250, 0, im_013_003_001.png, 12, 2, 0
1300, 200, 250, 0, im_014_003_001.png, 13, 2, 0
1400, 200, 250, 0, im_015_003_001.png, 14, 2, 0
1500, 200, 250, 0, im_016_003_001.png, 15, 2, 0
1600, 200, 250, 0, im_017_003_001.png, 16, 2, 0
1700, 200, 250, 0, im_018_003_001.png, 17, 2, 0
1800, 200, 250, 0, im_019_003_001.png, 18, 2, 0
1900, 200, 250, 0, im_020_003_001.png, 19, 2, 0
2000, 200, 250, 0, im_021_003_001.png, 20, 2, 0
2100, 200, 250, 0, im_022_003_001.png, 21, 2, 0
2200, 200, 250, 0, im_023_003_001.png, 22, 2, 0
2300, 200, 250, 0, im_024_003_001.png, 23, 2, 0
2400, 200, 250, 0, im_025_003_001.png, 24, 2, 0
2500, 200, 250, 0, im_026_003_001.png, 25, 2, 0
2600, 200, 250, 0, im_027_003_001.png, 26, 2, 0
2700, 200, 250, 0, im_028_003_001.png, 27, 2, 0
2800, 200, 250, 0, im_029_003_001.png, 28, 2, 0
0, 300, 250, 0, im_001_004_001.png, 0, 3, 0
