X [mm], Y [mm], Z [mm], Heading [degrees], Filename, Grid X, Grid Y, Grid Z
0, 0, 80, 0, im_001_001_001.png, 0, 0, 0
100, 0, 80, 0, im_002_001_001.png, 1, 0, 0
200, 0, 80, 0, im_003_001_001.png, 2, 0, 0
300, 0, 80, 0, im_004_001_001.png, 3, 0, 0
400, 0, 80, 0, im_005_001_001.png, 4, 0, 0
500, 0, 80, 0, im_006_001_001.png, 5, 0, 0
2100, 0, 80, 0, im_022_001_001.png, 21, 0, 0
2200, 0, 80, 0, im_023_001_001.png, 22, 0, 0
2300, 0, 80, 0, im_024_001_001.png, 23, 0, 0
2400, 0, 80, 0, im_025_001_001.png, 24, 0, 0
2500, 0, 80, 0, im_026_001_001.png, 25, 0, 0
2600, 0, 80, 0, im_027_001_001.png, 26, 0, 0
2700, 0, 80, 0, im_028_001_001.png, 27, 0, 0
2800, 0, 80, 0, im_029_001_001.png, 28, 0, 0
0, 100, 80, 0, im_001_002_001.png, 0, 1, 0
100, 100, 80, 0, im_002_002_001.png, 1, 1, 0
200, 100, 80, 0, im_003_002_001.png, 2, 1, 0
300, 100, 80, 0, im_004_002_001.png, 3, 1, 0
400, 100, 80, 0, im_005_002_001.png, 4, 1, 0
500, 100, 80, 0, im_006_002_001.png, 5, 1, 0
2100, 100, 80, 0, im_022_002_001.png, 21, 1, 0
2200, 100, 80, 0, im_023_002_001.png, 22, 1, 0
2300, 100, 80, 0, im_024_002_001.png, 23, 1, 0
2400, 100, 80, 0, im_025_002_001.png, 24, 1, 0
2500, 100, 80, 0, im_026_002_001.png, 25, 1, 0
2600, 100, 80, 0, im_027_002_001.png, 26, 1, 0
2700, 100, 80, 0, im_028_002_001.png, 27, 1, 0
2800, 100, 80, 0, im_029_002_001.png, 28, 1, 0
0, 200, 80, 0, im_001_003_001.png, 0, 2, 0
100, 200, 80, 0, im_002_003_001.png, 1, 2, 0
200, 200, 80, 0, im_003_003_001.png, 2, 2, 0
300, 200, 80, 0, im_004_003_001.png, 3, 2, 0
400, 200, 80, 0, im_005_003_001.png, 4, 2, 0
500, 200, 80, 0, im_006_003_001.png, 5, 2, 0
2200, 200, 80, 0, im_023_003_001.png, 22, 2, 0
2300, 200, 80, 0, im_024_003_001.png, 23, 2, 0
2400, 200, 80, 0, im_025_003_001.png, 24, 2, 0
2500, 200, 80, 0, im_026_003_001.png, 25, 2, 0
2600, 200, 80, 0, im_027_003_001.png, 26, 2, 0
2700, 200, 80, 0, im_028_003_001.png, 27, 2, 0
2800, 200, 80, 0, im_029_003_001.png, 28, 2, 0
0, 300, 80, 0, im_001_004_001.png, 0, 3, 0
100, 300, 80, 0, im_002_004_001.png, 1, 3, 0
200, 300, 80, 0, im_003_004_001.png, 2, 3, 0
300, 300, 80, 0, im_004_004_001.png, 3, 3, 0
400, 300, 80, 0, im_005_004_001.png, 4, 3, 0
500, 300, 80, 0, im_006_004_001.png, 5, 3, 0
2700, 300, 80, 0, im_028_004_001.png, 27, 3, 0
2800, 300, 80, 0, im_029_004_001.png, 28, 3, 0
0, 400, 80, 0, im_001_005_001.png, 0, 4, 0
100, 400, 80, 0, im_002_005_001.png, 1, 4, 0
200, 400, 80, 0, im_003_005_001.png, 2, 4, 0
300, 400, 80, 0, im_004_005_001.png, 3, 4, 0
400, 400, 80, 0, im_005_005_001.png, 4, 4, 0
500, 400, 80, 0, im_006_005_001.png, 5, 4, 0
2700, 400, 80, 0, im_028_005_001.png, 27, 4, 0
2800, 400, 80, 0, im_029_005_001.png, 28, 4, 0
0, 500, 80, 0, im_001_006_001.png, 0, 5, 0
100, 500, 80, 0, im_002_006_001.png, 1, 5, 0
200, 500, 80, 0, im_003_006_001.png, 2, 5, 0
300, 500, 80, 0, im_004_006_001.png, 3, 5, 0
400, 500, 80, 0, im_005_006_001.png, 4, 5, 0
500, 500, 80, 0, im_006_006_001.png, 5, 5, 0
600, 500, 80, 0, im_007_006_001.png, 6, 5, 0
2700, 500, 80, 0, im_028_006_001.png, 27, 5, 0
2800, 500, 80, 0, im_029_006_001.png, 28, 5, 0
0, 600, 80, 0, im_001_007_001.png, 0, 6, 0
100, 600, 80, 0, im_002_007_001.png, 1, 6, 0
200, 600, 80, 0, im_003_007_001.png, 2, 6, 0
300, 600, 80, 0, im_004_007_001.png, 3, 6, 0
400, 600, 80, 0, im_005_007_001.png, 4, 6, 0
500, 600, 80, 0, im_006_007_001.png, 5, 6, 0
600, 600, 80, 0, im_007_007_001.png, 6, 6, 0
2700, 600, 80, 0, im_028_007_001.png, 27, 6, 0
2800, 600, 80, 0, im_029_007_001.png, 28, 6, 0
