X [mm], Y [mm], Z [mm], Heading [degrees], Filename, Grid X, Grid Y, Grid Z
800, 1400, 0, 0, im_004_015_001.png, 3, 14, 0
2700, 1400, 0, 0, im_023_015_001.png, 22, 14, 0
2800, 1400, 0, 0, im_024_015_001.png, 23, 14, 0
500, 1500, 0, 0, im_001_016_001.png, 0, 15, 0
600, 1500, 0, 0, im_002_016_001.png, 1, 15, 0
700, 1500, 0, 0, im_003_016_001.png, 2, 15, 0
800, 1500, 0, 0, im_004_016_001.png, 3, 15, 0
1900, 1500, 0, 0, im_015_016_001.png, 14, 15, 0
2600, 1500, 0, 0, im_022_016_001.png, 21, 15, 0
2700, 1500, 0, 0, im_023_016_001.png, 22, 15, 0
2800, 1500, 0, 0, im_024_016_001.png, 23, 15, 0
500, 1600, 0, 0, im_001_017_001.png, 0, 16, 0
600, 1600, 0, 0, im_002_017_001.png, 1, 16, 0
700, 1600, 0, 0, im_003_017_001.png, 2, 16, 0
800, 1600, 0, 0, im_004_017_001.png, 3, 16, 0
1900, 1600, 0, 0, im_015_017_001.png, 14, 16, 0
2000, 1600, 0, 0, im_016_017_001.png, 15, 16, 0
2100, 1600, 0, 0, im_017_017_001.png, 16, 16, 0
2500, 1600, 0, 0, im_021_017_001.png, 20, 16, 0
2600, 1600, 0, 0, im_022_017_001.png, 21, 16, 0
2700, 1600, 0, 0, im_023_017_001.png, 22, 16, 0
2800, 1600, 0, 0, im_024_017_001.png, 23, 16, 0
500, 0, 50, 0, im_001_001_002.png, 0, 0, 1
2100, 0, 50, 0, im_017_001_002.png, 16, 0, 1
2200, 0, 50, 0, im_018_001_002.png, 17, 0, 1
2300, 0, 50, 0, im_019_001_002.png, 18, 0, 1
2400, 0, 50, 0, im_020_001_002.png, 19, 0, 1
2500, 0, 50, 0, im_021_001_002.png, 20, 0, 1
2600, 0, 50, 0, im_022_001_002.png, 21, 0, 1
2700, 0, 50, 0, im_023_001_002.png, 22, 0, 1
2800, 0, 50, 0, im_024_001_002.png, 23, 0, 1
500, 100, 50, 0, im_001_002_002.png, 0, 1, 1
2100, 100, 50, 0, im_017_002_002.png, 16, 1, 1
2200, 100, 50, 0, im_018_002_002.png, 17, 1, 1
2300, 100, 50, 0, im_019_002_002.png, 18, 1, 1
2400, 100, 50, 0, im_020_002_002.png, 19, 1, 1
2500, 100, 50, 0, im_021_002_002.png, 20, 1, 1
2600, 100, 50, 0, im_022_002_002.png, 21, 1, 1
2700, 100, 50, 0, im_023_002_002.png, 22, 1, 1
2800, 100, 50, 0, im_024_002_002.png, 23, 1, 1
500, 200, 50, 0, im_001_003_002.png, 0, 2, 1
2200, 200, 50, 0, im_018_003_002.png, 17, 2, 1
2300, 200, 50, 0, im_019_003_002.png, 18, 2, 1
2400, 200, 50, 0, im_020_003_002.png, 19, 2, 1
2500, 200, 50, 0, im_021_003_002.png, 20, 2, 1
2600, 200, 50, 0, im_022_003_002.png, 21, 2, 1
2700, 200, 50, 0, im_023_003_002.png, 22, 2, 1
2800, 200, 50, 0, im_024_003_002.png, 23, 2, 1
500, 300, 50, 0, im_001_004_002.png, 0, 3, 1
2700, 300, 50, 0, im_023_004_002.png, 22, 3, 1
2800, 300, 50, 0, im_024_004_002.png, 23, 3, 1
500, 400, 50, 0, im_001_005_002.png, 0, 4, 1
2700, 400, 50, 0, im_023_005_002.png, 22, 4, 1
2800, 400, 50, 0, im_024_005_002.png, 23, 4, 1
500, 500, 50, 0, im_001_006_002.png, 0, 5, 1
600, 500, 50, 0, im_002_006_002.png, 1, 5, 1
2700, 500, 50, 0, im_023_006_002.png, 22, 5, 1
2800, 500, 50, 0, im_024_006_002.png, 23, 5, 1
