X [mm], Y [mm], Z [mm], Heading [degrees], Filename, Grid X, Grid Y, Grid Z
0, 0, 300, 0, im_001_001.png, 0, 0, 0
100, 0, 300, 0, im_001_002.png, 1, 0, 0
200, 0, 300, 0, im_001_003.png, 2, 0, 0
300, 0, 300, 0, im_001_004.png, 3, 0, 0
400, 0, 300, 0, im_001_005.png, 4, 0, 0
500, 0, 300, 0, im_001_006.png, 5, 0, 0
600, 0, 300, 0, im_001_007.png, 6, 0, 0
700, 0, 300, 0, im_001_008.png, 7, 0, 0
800, 0, 300, 0, im_001_009.png, 8, 0, 0
900, 0, 300, 0, im_001_010.png, 9, 0, 0
1000, 0, 300, 0, im_001_011.png, 10, 0, 0
1100, 0, 300, 0, im_001_012.png, 11, 0, 0
1200, 0, 300, 0, im_001_013.png, 12, 0, 0
1300, 0, 300, 0, im_001_014.png, 13, 0, 0
1400, 0, 300, 0, im_001_015.png, 14, 0, 0
1500, 0, 300, 0, im_001_016.png, 15, 0, 0
1600, 0, 300, 0, im_001_017.png, 16, 0, 0
1700, 0, 300, 0, im_001_018.png, 17, 0, 0
1800, 0, 300, 0, im_001_019.png, 18, 0, 0
1900, 0, 300, 0, im_001_020.png, 19, 0, 0
2000, 0, 300, 0, im_001_021.png, 20, 0, 0
2100, 0, 300, 0, im_001_022.png, 21, 0, 0
2200, 0, 300, 0, im_001_023.png, 22, 0, 0
2300, 0, 300, 0, im_001_024.png, 23, 0, 0
2400, 0, 300, 0, im_001_025.png, 24, 0, 0
2500, 0, 300, 0, im_001_026.png, 25, 0, 0
2600, 0, 300, 0, im_001_027.png, 26, 0, 0
2700, 0, 300, 0, im_001_028.png, 27, 0, 0
2800, 0, 300, 0, im_001_029.png, 28, 0, 0
0, 100, 300, 0, im_002_001.png, 0, 1, 0
100, 100, 300, 0, im_002_002.png, 1, 1, 0
200, 100, 300, 0, im_002_003.png, 2, 1, 0
300, 100, 300, 0, im_002_004.png, 3, 1, 0
400, 100, 300, 0, im_002_005.png, 4, 1, 0
500, 100, 300, 0, im_002_006.png, 5, 1, 0
600, 100, 300, 0, im_002_007.png, 6, 1, 0
700, 100, 300, 0, im_002_008.png, 7, 1, 0
800, 100, 300, 0, im_002_009.png, 8, 1, 0
900, 100, 300, 0, im_002_010.png, 9, 1, 0
1000, 100, 300, 0, im_002_011.png, 10, 1, 0
1100, 100, 300, 0, im_002_012.png, 11, 1, 0
1200, 100, 300, 0, im_002_013.png, 12, 1, 0
1300, 100, 300, 0, im_002_014.png, 13, 1, 0
1400, 100, 300, 0, im_002_015.png, 14, 1, 0
1500, 100, 300, 0, im_002_016.png, 15, 1, 0
1600, 100, 300, 0, im_002_017.png, 16, 1, 0
1700, 100, 300, 0, im_002_018.png, 17, 1, 0
1800, 100, 300, 0, im_002_019.png, 18, 1, 0
