trialRef,frameNumber,xCoord,yCoord,orientation,height,pitch
13970,347,1099.2,575.48,267,1374.1,0
13970,348,1106.6,571.04,267,1383.8,0
13970,349,1114,566.6,267,1393.5,0
13970,350,1121.4,562.16,267,1403.2,0
13970,351,1128.8,557.72,267,1412.9,0
13970,352,1136.2,553.28,267,1422.6,0
13970,353,1143.6,548.84,267,1432.3,0
13970,354,1151,544.4,267,1442,0
13970,355,1158.4,539.96,267,1451.7,0
13970,356,1165.8,535.52,267,1461.4,0
13970,357,1173.2,531.08,267,1471.1,0
13970,358,1180.6,526.64,267,1480.8,0
13970,359,1188,522.2,267,1490.5,0
13970,360,1195.4,517.76,267,1500.2,0
13970,361,1202.8,513.32,267,1509.9,0
13970,362,1210.2,508.88,267,1519.6,0
13970,363,1217.6,504.44,267,1529.3,0
13970,364,1225,500,267,1539,0
13970,365,1232.4,495.56,267,1548.7,0
13970,366,1239.8,491.12,267,1558.4,0
13970,367,1244,491,341,1562,0
13970,368,1277,568,350,1542,0
13970,369,1315,600,350,1520,0
13970,370,1356,693,215,1500,0
13970,371,1401,733,227,1475,0
13970,372,1449,753,235,1448,0
13970,373,1496,762,232,1424,0
13970,374,1541,762,233,1403,0
13970,375,1586,753,244,1400,0
13970,376,1628,730,256,1397,0
13970,377,1664,691,255,1391,0
13970,378,1697,636,270,1381,0
13970,379,1724,579,270,1368,0
13970,380,1748,519,269,1349,0
13970,381,1768,459,274,1329,0
13970,382,1784,402,290,1302,0
13970,383,1793,351,285,1265,0
13970,384,1790,305,292,1241,0
13970,385,1780,271,326,1220,0
13970,386,1763,251,329,1210,0
13970,387,1741,243,343,1213,0
13970,388,1716,245,349,1219,0
13970,389,1685,265,354,1223,0
13970,390,1653,297,349,1243,0
13970,391,1622,340,194,1279,0
13970,392,1597,382,192,1319,0
13970,393,1573,428,191,1350,0
13970,394,1550,480,185,1370,0
13970,395,1518,517,182,1390,0
13970,396,1484,559,359,1407,0
13970,397,1443,602,337,1420,0
13970,398,1401,639,338,1445,0
13970,399,1355,676,332,1467,0
13970,400,1308,711,341,1489,0
13970,401,1260,742,347,1507,0
13970,402,1215,773,185,1520,0
13970,403,1172,805,201,1520,0
13970,404,1130,839,213,1513,0
13970,405,1143.222222,875.1111111,215.4444444,1492.666667,0
13970,406,1156.444444,911.2222222,217.8888889,1472.333333,0
13970,407,1169.666667,947.3333333,220.3333333,1452,0
13970,408,1182.888889,983.4444444,222.7777778,1431.666667,0
13970,409,1196.111111,1019.555556,225.2222222,1411.333333,0
13970,410,1209.333333,1055.666667,227.6666667,1391,0
13970,411,1222.555556,1091.777778,230.1111111,1370.666667,0
13970,412,1235.777778,1127.888889,232.5555556,1350.333333,0
13970,413,1249,1164,235,1330,0
13970,414,1262.222222,1200.111111,237.4444444,1309.666667,0
13970,415,1275.444444,1236.222222,239.8888889,1289.333333,0
13970,416,1288.666667,1272.333333,242.3333333,1269,0
13970,417,1301.888889,1308.444444,244.7777778,1248.666667,0
13970,418,1315.111111,1344.555556,247.2222222,1228.333333,0
13970,419,1328.333333,1380.666667,249.6666667,1208,0
13970,420,1341.555556,1416.777778,252.1111111,1187.666667,0
13970,421,1354.777778,1452.888889,254.5555556,1167.333333,0
13970,422,1368,1489,257,1147,0
13970,423,1410,1429,291,1075,0
13970,424,1442,1361,288,993,0
13970,425,1459,1293,283,915,0
13970,426,1463,1218,281,847,0
13970,427,1454,1138,292,776,0
13970,428,1432,1056,300,709,0
13970,429,1397,979,297,656,0
13970,430,1354,902,312,618,0
13970,431,1303,836,312,590,0
13970,432,1246,788,342,574,0
13970,433,1185,756,354,570,0
13970,434,1125,739,339,589,0
13970,435,1064,736,332,612,0
13970,436,1014,733,311,671,0
13970,437,977,725,299,742,0
13970,438,955,713,294,820,0
13970,439,946,696,276,903,0
13970,440,950,685,263,987,0
13970,441,958,671,274,1053,0
13970,442,965,651,279,1097,0
13970,443,970,631,276,1133,0
13970,444,969,599,270,1153,0
13970,445,969,568,268,1179,0
13970,446,972,542,253,1214,0
13970,447,978,525,264,1251,0
13970,448,992.0666667,525,266.6,1262.1,0
13970,449,1006.133333,525,269.2,1273.2,0
13970,450,1020.2,525,271.8,1284.3,0
13970,451,1034.266667,525,274.4,1295.4,0
13970,452,1048.333333,525,277,1306.5,0
13970,453,1062.4,525,279.6,1317.6,0
13970,454,1076.466667,525,282.2,1328.7,0
13970,455,1090.533333,525,284.8,1339.8,0
13970,456,1104.6,525,287.4,1350.9,0
13970,457,1118.666667,525,290,1362,0
13970,458,1132.733333,525,292.6,1373.1,0
13970,459,1146.8,525,295.2,1384.2,0
13970,460,1160.866667,525,297.8,1395.3,0
13970,461,1174.933333,525,300.4,1406.4,0
13970,462,1189,525,303,1417.5,0
13970,463,1203.066667,525,305.6,1428.6,0
13970,464,1217.133333,525,308.2,1439.7,0
13970,465,1231.2,525,310.8,1450.8,0
13970,466,1245.266667,525,313.4,1461.9,0
13970,467,1259.333333,525,316,1473,0
13970,468,1273.4,525,318.6,1484.1,0
13970,469,1287.466667,525,321.2,1495.2,0
13970,470,1301.533333,525,323.8,1506.3,0
13970,471,1315.6,525,326.4,1517.4,0
13970,472,1329.666667,525,329,1528.5,0
13970,473,1343.733333,525,331.6,1539.6,0
13970,474,1357.8,525,334.2,1550.7,0
13970,475,1371.866667,525,336.8,1561.8,0
13970,476,1400,525,342,1584,0
13970,477,1420,608,182,1558,0
13970,478,1447,673,207,1550,0
13970,479,1483,713,210,1538,0
13970,480,1520,739,219,1519,0
13970,481,1561,742,238,1497,0
13970,482,1599,725,242,1471,0
13970,483,1633,693,253,1453,0
13970,484,1662,648,266,1433,0
13970,485,1685,594,277,1407,0
13970,486,1698,531,273,1381,0
13970,487,1703,468,267,1368,0
13970,488,1704,408,249,1361,0
13970,489,1703,354,244,1357,0
13970,490,1702,305,252,1350,0
13970,491,1703,271,239,1337,0
13970,492,1704,254,233,1326,0
13970,493,1708,248,265,1315,0
13970,494,1710,248,260,1297,0
13970,495,1713,254,222,1304,0
13970,496,1722,265,214,1323,0
13970,497,1741,283,210,1338,0
13970,498,1765,300,221,1343,0
13970,499,1791,314,219,1345,0
13970,500,1812,323,239,1344,0
13970,501,1826,331,283,1336,0
13970,502,1831,340,293,1326,0
13970,503,1825,348,287,1325,0
13970,504,1811,348,278,1340,0
13970,505,1794,342,273,1366,0
13970,506,1778,334,296,1401,0
13970,507,1763,331,333,1422,0
13970,508,1742,345,345,1436,0
13970,509,1714,368,334,1457,0
13970,510,1685,397,337,1475,0
13970,511,1653,425,347,1482,0
13970,512,1617,462,358,1476,0
13970,513,1575,505,191,1474,0
13970,514,1531,562,194,1466,0
13970,515,1481,633,196,1450,0
13970,516,1430,708,197,1440,0
13970,517,1376,782,194,1429,0
13970,518,1320,853,189,1406,0
13970,519,1261,916,191,1389,0
13970,520,1202,967,358,1369,0
13970,521,1142,1010,348,1347,0
13970,522,1083,1039,338,1324,0
13970,523,1033,1056,336,1327,0
13970,524,975,1059,338,1289,0
13970,525,980.625,1044.8,338.225,1295.425,0
13970,526,986.25,1030.6,338.45,1301.85,0
13970,527,991.875,1016.4,338.675,1308.275,0
13970,528,997.5,1002.2,338.9,1314.7,0
13970,529,1003.125,988,339.125,1321.125,0
13970,530,1008.75,973.8,339.35,1327.55,0
13970,531,1014.375,959.6,339.575,1333.975,0
13970,532,1020,945.4,339.8,1340.4,0
13970,533,1025.625,931.2,340.025,1346.825,0
13970,534,1031.25,917,340.25,1353.25,0
13970,535,1036.875,902.8,340.475,1359.675,0
13970,536,1042.5,888.6,340.7,1366.1,0
13970,537,1048.125,874.4,340.925,1372.525,0
13970,538,1053.75,860.2,341.15,1378.95,0
13970,539,1059.375,846,341.375,1385.375,0
13970,540,1065,831.8,341.6,1391.8,0
13970,541,1070.625,817.6,341.825,1398.225,0
13970,542,1076.25,803.4,342.05,1404.65,0
13970,543,1081.875,789.2,342.275,1411.075,0
13970,544,1087.5,775,342.5,1417.5,0
13970,545,1093.125,760.8,342.725,1423.925,0
13970,546,1098.75,746.6,342.95,1430.35,0
13970,547,1104.375,732.4,343.175,1436.775,0
13970,548,1110,718.2,343.4,1443.2,0
13970,549,1115.625,704,343.625,1449.625,0
13970,550,1121.25,689.8,343.85,1456.05,0
13970,551,1126.875,675.6,344.075,1462.475,0
13970,552,1132.5,661.4,344.3,1468.9,0
13970,553,1138.125,647.2,344.525,1475.325,0
13970,554,1143.75,633,344.75,1481.75,0
13970,555,1149.375,618.8,344.975,1488.175,0
13970,556,1155,604.6,345.2,1494.6,0
13970,557,1160.625,590.4,345.425,1501.025,0
13970,558,1166.25,576.2,345.65,1507.45,0
13970,559,1171.875,562,345.875,1513.875,0
13970,560,1177.5,547.8,346.1,1520.3,0
13970,561,1183.125,533.6,346.325,1526.725,0
13970,562,1188.75,519.4,346.55,1533.15,0
13970,563,1194.375,505.2,346.775,1539.575,0
13970,564,1200,491,347,1546,0
13970,565,1237,571,352,1532,0
13970,566,1280,650,300,1515,0
13970,567,1328,713,210,1507,0
13970,568,1377,759,215,1492,0
13970,569,1429,788,213,1486,0
13970,570,1482,805,226,1482,0
13970,571,1534,799,234,1481,0
13970,572,1582,776,241,1482,0
13970,573,1624,739,235,1487,0
13970,574,1661,699,238,1499,0
13970,575,1694,656,244,1517,0
13970,576,1725,619,270,1541,0
13970,577,1752,585,289,1555,0
13970,578,1773,554,300,1566,0
13970,579,1784,522,311,1579,0
13970,580,1783,502,297,1579,0
13970,581,1770,499,182,1579,0
13970,582,1746,525,190,1580,0
13970,583,1715,571,189,1580,0
13970,584,1679,628,183,1576,0
13970,585,1641,688,200,1571,0
13970,586,1603,753,210,1561,0
13970,587,1566,822,209,1547,0
13970,588,1528,887,205,1529,0
13970,589,1488,956,197,1499,0
13970,590,1446,1021,198,1468,0
13970,591,1402,1081,197,1431,0
13970,592,1358,1136,185,1392,0
13970,593,1312,1176,356,1343,0
13970,594,1262,1207,356,1288,0
13970,595,1209,1224,335,1224,0
13970,596,1150,1218,320,1162,0
13970,597,1095,1198,310,1121,0
13970,598,1040,1170,323,1084,0
13970,599,990,1138,323,1062,0
13970,600,938,1101,323,1042,0
13970,601,887,1059,318,1029,0
13970,602,850,1010,305,1083,0
13970,603,859.3658537,1009.365854,306.195122,1096.390244,0
13970,604,868.7317073,1008.731707,307.3902439,1109.780488,0
13970,605,878.097561,1008.097561,308.5853659,1123.170732,0
13970,606,887.4634146,1007.463415,309.7804878,1136.560976,0
13970,607,896.8292683,1006.829268,310.9756098,1149.95122,0
13970,608,906.195122,1006.195122,312.1707317,1163.341463,0
13970,609,915.5609756,1005.560976,313.3658537,1176.731707,0
13970,610,924.9268293,1004.926829,314.5609756,1190.121951,0
13970,611,934.2926829,1004.292683,315.7560976,1203.512195,0
13970,612,943.6585366,1003.658537,316.9512195,1216.902439,0
13970,613,953.0243902,1003.02439,318.1463415,1230.292683,0
13970,614,962.3902439,1002.390244,319.3414634,1243.682927,0
13970,615,971.7560976,1001.756098,320.5365854,1257.073171,0
13970,616,981.1219512,1001.121951,321.7317073,1270.463415,0
13970,617,990.4878049,1000.487805,322.9268293,1283.853659,0
13970,618,999.8536585,999.8536585,324.1219512,1297.243902,0
13970,619,1009.219512,999.2195122,325.3170732,1310.634146,0
13970,620,1018.585366,998.5853659,326.5121951,1324.02439,0
13970,621,1027.95122,997.9512195,327.7073171,1337.414634,0
